address,name,account_type,entity,labels,tags
0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,eoa,exchange,1,
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,eoa,exchange,1,
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,eoa,exchange,1,
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,eoa,exchange,1,
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,eoa,exchange,1,
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,eoa,exchange,1,
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,eoa,exchange,1,
0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,eoa,exchange,1,
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,eoa,exchange,1,
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6,eoa,exchange,1,
0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,BITStorage,eoa,exchange,1,
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,eoa,exchange,1,
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,eoa,exchange,1,
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,eoa,exchange,1,
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,eoa,exchange,1,
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,eoa,exchange,1,
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,eoa,exchange,1,
0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,eoa,exchange,1,
0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,eoa,exchange,1,
0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,eoa,exchange,1,
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,eoa,exchange,1,
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,eoa,exchange,1,
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,eoa,exchange,1,
0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,eoa,exchange,1,
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,eoa,exchange,1,
0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex Exchange,eoa,exchange,1,
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,eoa,exchange,1,
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,eoa,exchange,1,
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,eoa,exchange,1,
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,eoa,exchange,1,
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,eoa,exchange,1,
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,eoa,exchange,1,
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,eoa,exchange,1,
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,eoa,exchange,1,
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,eoa,exchange,1,
0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,eoa,exchange,1,
0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako: Warm Wallet,eoa,exchange,1,
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,eoa,exchange,1,
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,eoa,exchange,1,
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,eoa,exchange,1,
0xd0808da05cc71a9f308d330bc9c5c81bbc26fc59,Coinswitch,eoa,exchange,1,
0x8705ccfd8a6df3785217c307cbebf9b793310b94,CoinW,eoa,exchange,1,
0xcb243bf48fb443082fae7db47ec96cb120cd6801,CoinW 2,eoa,exchange,1,
0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,eoa,exchange,1,
0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,eoa,exchange,1,
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,eoa,exchange,1,
0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io: Old Warm Wallet,eoa,exchange,1,
0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS.io: Warm Wallet,eoa,exchange,1,
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,eoa,exchange,1,
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,eoa,exchange,1,
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,eoa,exchange,1,
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,eoa,exchange,1,
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,eoa,exchange,1,
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,eoa,exchange,1,
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,eoa,exchange,1,
0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,eoa,exchange,1,
0x608f94df1c1d89ea13e5984d7bf107df137a6541,Eigen Fx,eoa,exchange,1,
0xeb9ebf2c624ebee42e0853da6443ddc6c8020de7,Eigen Fx 2,eoa,exchange,1,
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,eoa,exchange,1,
0xd3808c5d48903be1490989f3fce2a2b3890e8eb6,Exchange A,eoa,exchange,1,
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,eoa,exchange,1,
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,eoa,exchange,1,
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,eoa,exchange,1,
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,eoa,exchange,1,
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,eoa,exchange,1,
0x14301566b9669b672878d86ff0b1d18dd58054e9,Flata.Exchange,eoa,exchange,1,
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,Flybit,eoa,exchange,1,
0x0021845f4c2604c58f9ba5b7bff58d16a2ab372c,Folgory Exchange,eoa,exchange,1,
