address,name,account_type,type
0xe77780defba5ce2e0c10e41d7ff20a4bc05a57f6,Cobinhood_2,eoa,Exchange
0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,CoinEgg,eoa,Exchange
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,eoa,Exchange
0x167a9333bf582556f35bd4d16a7e80e191aa6476,CoinOne?,eoa,Exchange
0x71660c4005BA85c37ccec55d0C4493E66Fe775d3,Coinbase,eoa,Exchange
0x503828976D22510aad0201ac7EC88293211D23Da,Coinbase,eoa,Exchange
0xddfAbCdc4D8FfC6d5beaf154f18B778f892A0740,Coinbase,eoa,Exchange
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase,eoa,Exchange
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,Coinbase,eoa,Exchange
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase,eoa,Exchange
0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,Coinbase,eoa,Exchange
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,eoa,Exchange
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,eoa,Exchange
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,eoa,Exchange
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,eoa,Exchange
0x1d1bd550197c7c0787b9ad0aea9c1cca66ee0e90,Coinhako,eoa,Exchange
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,eoa,Exchange
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,eoa,Exchange
0xe269e891a2ec8585a378882ffa531141205e92e9,DDEX,eoa,Exchange
0x7600977eb9effa627d6bd0da2e5be35e11566341,DEx.top,contract,Exchange
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,eoa,Exchange
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,eoa,Exchange
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,eoa,Exchange
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,eoa,Exchange
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,eoa,Exchange
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,eoa,Exchange
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,eoa,Exchange
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,eoa,Exchange
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,eoa,Exchange
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io 1,eoa,Exchange
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,eoa,Exchange
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,eoa,Exchange
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,contract,Exchange
0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,Gopax,eoa,Exchange
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,eoa,Exchange
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,eoa,Exchange
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,eoa,Exchange
0x65e2c5175e2e618f48e70343b14c31b280e42d90,HitBTC sender,eoa,Exchange
0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,HitBTC?,eoa,Exchange
0xf07232bc85d995c32c1edf1c985c84a8b7b0ded7,HitBTC??,eoa,Exchange
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit 1,eoa,Exchange
0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit 2,eoa,Exchange
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,eoa,Exchange
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,eoa,Exchange
